DateStart,DateEnd,Interval Days,GeoName,Keyword1_/m/01lp8,Keyword2_/m/04y29
2012-01-01,2018-12-31,2557,Abilene-Sweetwater TX,90,10
2012-01-01,2018-12-31,2557,Albany GA,87,13
2012-01-01,2018-12-31,2557,Albany-Schenectady-Troy NY,72,28
2012-01-01,2018-12-31,2557,Albuquerque-Santa Fe NM,84,16
2012-01-01,2018-12-31,2557,Alexandria LA,86,14
2012-01-01,2018-12-31,2557,Alpena MI,85,15
2012-01-01,2018-12-31,2557,Amarillo TX,87,13
2012-01-01,2018-12-31,2557,Anchorage AK,82,18
2012-01-01,2018-12-31,2557,Atlanta GA,82,18
2012-01-01,2018-12-31,2557,Augusta GA,86,14
2012-01-01,2018-12-31,2557,Austin TX,80,20
2012-01-01,2018-12-31,2557,Bakersfield CA,84,16
2012-01-01,2018-12-31,2557,Baltimore MD,73,27
2012-01-01,2018-12-31,2557,Bangor ME,77,23
2012-01-01,2018-12-31,2557,Baton Rouge LA,84,16
2012-01-01,2018-12-31,2557,Beaumont-Port Arthur TX,85,15
2012-01-01,2018-12-31,2557,Bend OR,83,17
2012-01-01,2018-12-31,2557,"Billings, MT",83,17
2012-01-01,2018-12-31,2557,Biloxi-Gulfport MS,85,15
2012-01-01,2018-12-31,2557,Binghamton NY,74,26
2012-01-01,2018-12-31,2557,Birmingham AL,87,13
2012-01-01,2018-12-31,2557,Bluefield-Beckley-Oak Hill WV,88,12
2012-01-01,2018-12-31,2557,Boise ID,83,17
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,72,28
2012-01-01,2018-12-31,2557,Bowling Green KY,84,16
2012-01-01,2018-12-31,2557,Buffalo NY,72,28
2012-01-01,2018-12-31,2557,Burlington VT-Plattsburgh NY,71,29
2012-01-01,2018-12-31,2557,Butte-Bozeman MT,81,19
2012-01-01,2018-12-31,2557,Casper-Riverton WY,83,17
2012-01-01,2018-12-31,2557,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,78,22
2012-01-01,2018-12-31,2557,Champaign & Springfield-Decatur IL,81,19
2012-01-01,2018-12-31,2557,Charleston SC,82,18
2012-01-01,2018-12-31,2557,Charleston-Huntington WV,86,14
2012-01-01,2018-12-31,2557,Charlotte NC,85,15
2012-01-01,2018-12-31,2557,Charlottesville VA,80,20
2012-01-01,2018-12-31,2557,Chattanooga TN,88,12
2012-01-01,2018-12-31,2557,Cheyenne WY-Scottsbluff NE,85,15
2012-01-01,2018-12-31,2557,Chicago IL,74,26
2012-01-01,2018-12-31,2557,Chico-Redding CA,82,18
2012-01-01,2018-12-31,2557,Cincinnati OH,80,20
2012-01-01,2018-12-31,2557,Clarksburg-Weston WV,86,14
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,79,21
2012-01-01,2018-12-31,2557,Colorado Springs-Pueblo CO,85,15
2012-01-01,2018-12-31,2557,Columbia SC,84,16
2012-01-01,2018-12-31,2557,Columbia-Jefferson City MO,81,19
2012-01-01,2018-12-31,2557,Columbus GA,86,14
2012-01-01,2018-12-31,2557,Columbus OH,77,23
2012-01-01,2018-12-31,2557,Columbus-Tupelo-West Point MS,90,10
2012-01-01,2018-12-31,2557,Corpus Christi TX,85,15
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,82,18
2012-01-01,2018-12-31,2557,Davenport IA-Rock Island-Moline IL,83,17
2012-01-01,2018-12-31,2557,Dayton OH,83,17
2012-01-01,2018-12-31,2557,Denver CO,81,19
2012-01-01,2018-12-31,2557,Des Moines-Ames IA,83,17
2012-01-01,2018-12-31,2557,Detroit MI,71,29
2012-01-01,2018-12-31,2557,Dothan AL,89,11
2012-01-01,2018-12-31,2557,Duluth MN-Superior WI,81,19
2012-01-01,2018-12-31,2557,El Paso TX,84,16
2012-01-01,2018-12-31,2557,Elmira NY,82,18
2012-01-01,2018-12-31,2557,Erie PA,80,20
2012-01-01,2018-12-31,2557,Eugene OR,81,19
2012-01-01,2018-12-31,2557,Eureka CA,77,23
2012-01-01,2018-12-31,2557,Evansville IN,85,15
2012-01-01,2018-12-31,2557,Fairbanks AK,83,17
2012-01-01,2018-12-31,2557,Fargo-Valley City ND,77,23
2012-01-01,2018-12-31,2557,Flint-Saginaw-Bay City MI,79,21
2012-01-01,2018-12-31,2557,Florence-Myrtle Beach SC,86,14
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,83,17
2012-01-01,2018-12-31,2557,Ft. Myers-Naples FL,83,17
2012-01-01,2018-12-31,2557,Ft. Smith-Fayetteville-Springdale-Rogers AR,87,13
2012-01-01,2018-12-31,2557,Ft. Wayne IN,83,17
2012-01-01,2018-12-31,2557,Gainesville FL,80,20
2012-01-01,2018-12-31,2557,Glendive MT,0,0
2012-01-01,2018-12-31,2557,Grand Junction-Montrose CO,87,13
2012-01-01,2018-12-31,2557,Grand Rapids-Kalamazoo-Battle Creek MI,85,15
2012-01-01,2018-12-31,2557,Great Falls MT,85,15
2012-01-01,2018-12-31,2557,Green Bay-Appleton WI,82,18
2012-01-01,2018-12-31,2557,Greensboro-High Point-Winston Salem NC,84,16
2012-01-01,2018-12-31,2557,Greenville-New Bern-Washington NC,85,15
2012-01-01,2018-12-31,2557,Greenville-Spartanburg SC-Asheville NC-Anderson SC,87,13
2012-01-01,2018-12-31,2557,Greenwood-Greenville MS,86,14
2012-01-01,2018-12-31,2557,Harlingen-Weslaco-Brownsville-McAllen TX,94,6
2012-01-01,2018-12-31,2557,Harrisburg-Lancaster-Lebanon-York PA,84,16
2012-01-01,2018-12-31,2557,Harrisonburg VA,85,15
2012-01-01,2018-12-31,2557,Hartford & New Haven CT,71,29
2012-01-01,2018-12-31,2557,Hattiesburg-Laurel MS,89,11
2012-01-01,2018-12-31,2557,Helena MT,81,19
2012-01-01,2018-12-31,2557,Honolulu HI,82,18
2012-01-01,2018-12-31,2557,Houston TX,82,18
2012-01-01,2018-12-31,2557,Huntsville-Decatur (Florence) AL,88,12
2012-01-01,2018-12-31,2557,Idaho Falls-Pocatello ID,78,22
2012-01-01,2018-12-31,2557,Indianapolis IN,83,17
2012-01-01,2018-12-31,2557,Jackson MS,88,12
2012-01-01,2018-12-31,2557,Jackson TN,90,10
2012-01-01,2018-12-31,2557,Jacksonville FL,82,18
2012-01-01,2018-12-31,2557,Johnstown-Altoona PA,81,19
2012-01-01,2018-12-31,2557,Jonesboro AR,88,12
2012-01-01,2018-12-31,2557,Joplin MO-Pittsburg KS,87,13
2012-01-01,2018-12-31,2557,Juneau AK,79,21
2012-01-01,2018-12-31,2557,Kansas City MO,82,18
2012-01-01,2018-12-31,2557,Knoxville TN,86,14
2012-01-01,2018-12-31,2557,La Crosse-Eau Claire WI,81,19
2012-01-01,2018-12-31,2557,Lafayette IN,79,21
2012-01-01,2018-12-31,2557,Lafayette LA,84,16
2012-01-01,2018-12-31,2557,Lake Charles LA,86,14
2012-01-01,2018-12-31,2557,Lansing MI,77,23
2012-01-01,2018-12-31,2557,Laredo TX,90,10
2012-01-01,2018-12-31,2557,Las Vegas NV,79,21
2012-01-01,2018-12-31,2557,Lexington KY,85,15
2012-01-01,2018-12-31,2557,Lima OH,84,16
2012-01-01,2018-12-31,2557,Lincoln & Hastings-Kearney NE,83,17
2012-01-01,2018-12-31,2557,Little Rock-Pine Bluff AR,87,13
2012-01-01,2018-12-31,2557,Los Angeles CA,80,20
2012-01-01,2018-12-31,2557,Louisville KY,83,17
2012-01-01,2018-12-31,2557,Lubbock TX,88,12
2012-01-01,2018-12-31,2557,Macon GA,84,16
2012-01-01,2018-12-31,2557,Madison WI,78,22
2012-01-01,2018-12-31,2557,Mankato MN,75,25
2012-01-01,2018-12-31,2557,Marquette MI,78,22
2012-01-01,2018-12-31,2557,Medford-Klamath Falls OR,83,17
2012-01-01,2018-12-31,2557,Memphis TN,83,17
2012-01-01,2018-12-31,2557,Meridian MS,88,12
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,82,18
2012-01-01,2018-12-31,2557,Milwaukee WI,80,20
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,74,26
2012-01-01,2018-12-31,2557,Minot-Bismarck-Dickinson(Williston) ND,83,17
2012-01-01,2018-12-31,2557,Missoula MT,82,18
2012-01-01,2018-12-31,2557,Mobile AL-Pensacola (Ft. Walton Beach) FL,84,16
2012-01-01,2018-12-31,2557,Monroe LA-El Dorado AR,89,11
2012-01-01,2018-12-31,2557,Monterey-Salinas CA,77,23
2012-01-01,2018-12-31,2557,Montgomery (Selma) AL,87,13
2012-01-01,2018-12-31,2557,Nashville TN,86,14
2012-01-01,2018-12-31,2557,New Orleans LA,83,17
2012-01-01,2018-12-31,2557,New York NY,70,30
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,82,18
2012-01-01,2018-12-31,2557,North Platte NE,84,16
2012-01-01,2018-12-31,2557,Odessa-Midland TX,88,12
2012-01-01,2018-12-31,2557,Oklahoma City OK,85,15
2012-01-01,2018-12-31,2557,Omaha NE,82,18
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,82,18
2012-01-01,2018-12-31,2557,Ottumwa IA-Kirksville MO,85,15
2012-01-01,2018-12-31,2557,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,87,13
2012-01-01,2018-12-31,2557,Palm Springs CA,82,18
2012-01-01,2018-12-31,2557,Panama City FL,84,16
2012-01-01,2018-12-31,2557,Parkersburg WV,85,15
2012-01-01,2018-12-31,2557,Peoria-Bloomington IL,84,16
2012-01-01,2018-12-31,2557,Philadelphia PA,71,29
2012-01-01,2018-12-31,2557,Phoenix AZ,82,18
2012-01-01,2018-12-31,2557,Pittsburgh PA,78,22
2012-01-01,2018-12-31,2557,Portland OR,77,23
2012-01-01,2018-12-31,2557,Portland-Auburn ME,72,28
2012-01-01,2018-12-31,2557,Presque Isle ME,84,16
2012-01-01,2018-12-31,2557,Providence RI-New Bedford MA,76,24
2012-01-01,2018-12-31,2557,Quincy IL-Hannibal MO-Keokuk IA,84,16
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,83,17
2012-01-01,2018-12-31,2557,Rapid City SD,86,14
2012-01-01,2018-12-31,2557,Reno NV,80,20
2012-01-01,2018-12-31,2557,Richmond-Petersburg VA,79,21
2012-01-01,2018-12-31,2557,Roanoke-Lynchburg VA,56,44
2012-01-01,2018-12-31,2557,Rochester MN-Mason City IA-Austin MN,76,24
2012-01-01,2018-12-31,2557,Rochester NY,76,24
2012-01-01,2018-12-31,2557,Rockford IL,80,20
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,78,22
2012-01-01,2018-12-31,2557,Salisbury MD,81,19
2012-01-01,2018-12-31,2557,Salt Lake City UT,75,25
2012-01-01,2018-12-31,2557,San Angelo TX,88,12
2012-01-01,2018-12-31,2557,San Antonio TX,86,14
2012-01-01,2018-12-31,2557,San Diego CA,79,21
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,71,29
2012-01-01,2018-12-31,2557,Santa Barbara-Santa Maria-San Luis Obispo CA,82,18
2012-01-01,2018-12-31,2557,Savannah GA,83,17
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,77,23
2012-01-01,2018-12-31,2557,Sherman TX-Ada OK,85,15
2012-01-01,2018-12-31,2557,Shreveport LA,87,13
2012-01-01,2018-12-31,2557,Sioux City IA,87,13
2012-01-01,2018-12-31,2557,Sioux Falls(Mitchell) SD,85,15
2012-01-01,2018-12-31,2557,South Bend-Elkhart IN,86,14
2012-01-01,2018-12-31,2557,Spokane WA,84,16
2012-01-01,2018-12-31,2557,Springfield MO,88,12
2012-01-01,2018-12-31,2557,Springfield-Holyoke MA,77,23
2012-01-01,2018-12-31,2557,St. Joseph MO,85,15
2012-01-01,2018-12-31,2557,St. Louis MO,80,20
2012-01-01,2018-12-31,2557,Syracuse NY,72,28
2012-01-01,2018-12-31,2557,Tallahassee FL-Thomasville GA,84,16
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,82,18
2012-01-01,2018-12-31,2557,Terre Haute IN,86,14
2012-01-01,2018-12-31,2557,Toledo OH,79,21
2012-01-01,2018-12-31,2557,Topeka KS,84,16
2012-01-01,2018-12-31,2557,Traverse City-Cadillac MI,82,18
2012-01-01,2018-12-31,2557,Tri-Cities TN-VA,88,12
2012-01-01,2018-12-31,2557,Tucson (Sierra Vista) AZ,80,20
2012-01-01,2018-12-31,2557,Tulsa OK,75,25
2012-01-01,2018-12-31,2557,Twin Falls ID,80,20
2012-01-01,2018-12-31,2557,Tyler-Longview(Lufkin & Nacogdoches) TX,88,12
2012-01-01,2018-12-31,2557,Utica NY,69,31
2012-01-01,2018-12-31,2557,Victoria TX,87,13
2012-01-01,2018-12-31,2557,Waco-Temple-Bryan TX,86,14
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),72,28
2012-01-01,2018-12-31,2557,Watertown NY,76,24
2012-01-01,2018-12-31,2557,Wausau-Rhinelander WI,84,16
2012-01-01,2018-12-31,2557,West Palm Beach-Ft. Pierce FL,82,18
2012-01-01,2018-12-31,2557,Wheeling WV-Steubenville OH,83,17
2012-01-01,2018-12-31,2557,Wichita Falls TX & Lawton OK,87,13
2012-01-01,2018-12-31,2557,Wichita-Hutchinson KS,86,14
2012-01-01,2018-12-31,2557,Wilkes Barre-Scranton PA,78,22
2012-01-01,2018-12-31,2557,Wilmington NC,83,17
2012-01-01,2018-12-31,2557,Yakima-Pasco-Richland-Kennewick WA,85,15
2012-01-01,2018-12-31,2557,Youngstown OH,83,17
2012-01-01,2018-12-31,2557,Yuma AZ-El Centro CA,89,11
2012-01-01,2018-12-31,2557,Zanesville OH,84,16
